state,total_medicaid_overpayment,top_drug,top_drug_overpayment,drugs_analyzed
CA,843922008.1326958,Ibuprofen 600mg Tablet,14100373.72486,1731
NY,594828809.5316343,Ergocalciferol 1.25mg Capsule,18353459.004393198,1739
OH,248597462.34208992,Albuterol HFA 90mcg Inhaler,6627110.525294117,1518
PA,192313271.62490875,Albuterol HFA 90mcg Inhaler,4682990.791688236,1523
KY,174378963.26991373,Cetirizine HCl 10mg Tablet,3366418.9324999996,1425
MO,145412925.46710446,Pantoprazole Sodium 40mg Delayed Release Tablet,2639697.4999,1296
LA,144656526.87233582,Dapagliflozin Propanediol 10mg Tablet,11391635.639999999,1377
NC,141905384.79042453,Dapagliflozin Propanediol 10mg Tablet,3280723.8866666663,1444
WA,139456635.82500544,Liraglutide 18 mg/3ml Box (3 x 3ml Prefilled Pens),14277608.583333334,1371
TX,137543146.04939556,Dapagliflozin Propanediol 10mg Tablet,6824935.779999999,1513
IL,137241583.13978234,Liraglutide 18 mg/3ml Box (3 x 3ml Prefilled Pens),5780747.471111111,1468
MI,133990399.13551274,Tasimelteon 20mg Capsule,3801226.06,1424
IN,124045880.21165533,Varenicline Tartrate 1mg Tablet,1506987.1271725,1404
VA,122370321.41104747,Albuterol HFA 90mcg Inhaler,1810688.744352941,1479
FL,116936284.19640085,Prednisolone Sodium Phosphate 15mg/5ml mL,3372840.0618470465,1431
MN,110982036.34317389,Bupropion XL 150mg Extended Release Tablet,1535903.2659999998,1255
NJ,107429762.96435216,Dapagliflozin Propanediol 10mg Tablet,12799288.318333335,1470
NM,102769353.05449519,Ibuprofen 400mg Tablet,2994005.77124,1133
AZ,102748135.9341242,Emtricitabine-Tenofovir DF 200mg - 300mg Bottle of Tablets,1553340.5306666668,1335
MA,99486600.98701297,Emtricitabine-Tenofovir DF 200mg - 300mg Bottle of Tablets,1401985.8963333333,1323
WI,98720830.3493981,Omeprazole Delayed Release (DR) 20mg Delayed Release Capsule,1590891.39616,1284
PR,89788808.18314528,Albuterol HFA 90mcg Inhaler,3662404.9084705883,854
MD,85885019.33197005,Dapagliflozin Propanediol 10mg Tablet,7002478.123333333,1412
OR,79432302.32812087,Dapagliflozin Propanediol 10mg Tablet,8245712.903333335,1322
CT,78609067.89275204,Pantoprazole Sodium 40mg Delayed Release Tablet,1233837.3340000003,1339
TN,75796912.07842417,Ciprofloxacin-Dexamethasone 0.3-0.1% Ear Dropper,1274784.7299999997,1317
CO,72872171.25449863,Liraglutide 18 mg/3ml Box (3 x 3ml Prefilled Pens),1290802.722222222,1286
GA,70572917.73715307,Dapagliflozin Propanediol 10mg Tablet,2225917.9883333333,1318
WV,55809404.97628989,Pantoprazole Sodium 40mg Delayed Release Tablet,1155086.2055000002,1106
AL,49206475.83800283,Dapagliflozin Propanediol 10mg Tablet,3276265.2249999996,1260
SD,48166072.17585829,Ibuprofen 400mg Tablet,2085459.6972400001,839
AR,45739360.02284364,Liraglutide 18 mg/3ml Box (3 x 3ml Prefilled Pens),2729536.65,1004
NV,43005811.17486204,Dapagliflozin Propanediol 10mg Tablet,5215521.623333333,1209
MS,36754264.72110903,Cetirizine HCl 1mg/mL Bottle of Solution,1045879.8061666667,1026
OK,33523161.287499297,Liraglutide 18 mg/3ml Box (3 x 3ml Prefilled Pens),620560.0366666666,1127
SC,29669284.794022728,Dasatinib 100 mg Bottle of 30 Tablets,530952.12,1169
ID,29330192.335578788,Omeprazole Delayed Release (DR) 40mg Delayed Release Capsule,597678.167545,1055
UT,29092608.60353487,Dapagliflozin Propanediol 10mg Tablet,1662187.2183333333,1059
KS,24229203.535528176,Dapagliflozin Propanediol 10mg Tablet,794836.2716666666,1066
NE,22557019.981518954,Cetirizine HCl 10mg Tablet,531119.73805,1023
MT,21216916.913570717,Omeprazole Delayed Release (DR) 20mg Delayed Release Capsule,388665.979222,880
RI,20041474.14985436,Dapagliflozin Propanediol 10mg Tablet,3122162.341666667,1049
ME,18729756.030607197,Sertraline 100mg Tablet,270948.71576,947
IA,16511397.649270793,Albuterol HFA 90mcg Inhaler,506124.94647058815,1227
AK,15657701.404166356,Dapagliflozin Propanediol 10mg Tablet,490509.98333333334,895
HI,15013712.028403448,Dapagliflozin Propanediol 10mg Tablet,1964592.4916666667,925
DE,10005552.693016427,Omeprazole Delayed Release (DR) 40mg Delayed Release Capsule,209730.41925500002,974
VT,9254489.578908144,Sertraline 100mg Tablet,157037.17392,816
ND,8674297.750620104,Liraglutide 18 mg/3ml Box (3 x 3ml Prefilled Pens),745012.7799999999,710
NH,7865752.929904031,Dapagliflozin Propanediol 10mg Tablet,641508.4866666667,1003
DC,7779358.818627506,Dapagliflozin Propanediol 10mg Tablet,616171.3433333334,904
WY,3392972.1172890714,Cetirizine HCl 10mg Tablet,73513.3073,552
