drug_term,rxcui,tty,ndc_count
Abacavir Sulfate 20mg/mL Bottle of Solution,242680,SCD,5
Adalimumab-aacf 40mg/0.8ml Prefilled Syringe Kit 2 Prefilled Syringes,2640851,SCD,2
Adalimumab-fkjp 40mg/0.8ml Auto-injector Kit,2640404,SCD,3
Adalimumab-fkjp 20mg/0.4ml Prefilled Syringe Kit,2640412,SCD,3
Adalimumab-fkjp 40mg/0.8ml Prefilled Syringe Kit,2640417,SCD,3
Amoxapine 100mg Tablet,197363,SCD,2
Amoxapine 150mg Tablet,197364,SCD,2
Amoxapine 25mg Tablet,197365,SCD,2
Amoxapine 50mg Tablet,197366,SCD,2
Atazanavir Sulfate 150mg Bottle of Capsules,402246,SCD,15
Bexarotene 75 mg Capsule,308725,SCD,11
Brenzavvy (Bexagliflozin) 20mg Bottle of Tablets,2637859,SCD,6
Captopril-Hydrochlorothiazide 25-15mg Tablet,197436,SCD,1
Captopril-Hydrochlorothiazide 25-25mg Tablet,197437,SCD,1
Captopril-Hydrochlorothiazide 50-15mg Tablet,197438,SCD,1
Captopril-Hydrochlorothiazide 50-25mg Tablet,197439,SCD,1
Cefaclor ER 500mg Tablet Extended Release,309043,SCD,2
Cetrorelix Acetate 0.25mg Kit,283402,SCD,13
Cladribine (Multiple Sclerosis) 10mg Tablet Therapy Pack,2122660,GPCK,3
Cladribine (Multiple Sclerosis) 10mg Tablet Therapy Pack,2122660,GPCK,3
Cladribine (Multiple Sclerosis) 10mg Tablet Therapy Pack,2122660,GPCK,3
Cladribine (Multiple Sclerosis) 10mg Tablet Therapy Pack,2122660,GPCK,3
Cladribine (Multiple Sclerosis) 10mg Tablet Therapy Pack,2122660,GPCK,3
Cladribine (Multiple Sclerosis) 10mg Tablet Therapy Pack,2122660,GPCK,3
Cladribine (Multiple Sclerosis) 10mg Tablet Therapy Pack,2122660,GPCK,3
Dapagliflozin-Metformin HCl ER 5-500mg Extended Release Tablet,1593072,SCD,13
Dapagliflozin-Metformin HCl ER 10-500mg Extended Release Tablet,1593068,SCD,17
Dasatinib 20 mg Bottle of 60 Tablets,643105,SCD,15
Dasatinib 50 mg Bottle of 60 Tablets,643107,SCD,15
Dasatinib 70 mg Bottle of 60 Tablets,643109,SCD,15
Dasatinib 80 mg Bottle of 30 Tablets,1045406,SCD,15
Dasatinib 140 mg Bottle of 30 Tablets,1045402,SCD,15
Deferasirox 125mg Tablet Soluble,597768,SCD,22
Deferasirox 250mg Tablet Soluble,597770,SCD,22
Deferasirox 500mg Tablet Soluble,597772,SCD,22
Deferasirox 90mg Tablet,1607796,SCD,22
Deferasirox 90 mg Box of 30 packets,1923822,SCD,13
Deferasirox 180 mg Box of 30 packets,1923828,SCD,14
Deferasirox 360 mg Box of 30 packets,1923826,SCD,14
Deferiprone 1000mg Tablet,2180997,SCD,5
Deferiprone 500mg Tablet,389242,SCD,4
Desloratadine 2.5mg Pack of Disintegrating Tablets,577080,SCD,2
Desonide 0.05% Tube of Gel,669081,SCD,2
Dexamethasone 1.5mg 10-Day Dose Pack,759697,GPCK,1
Dexamethasone 1.5mg 6-Day Dose Pack,846192,GPCK,3
Dexamethasone 1.5mg 13-Day Dose Pack,759481,GPCK,1
Diltiazem HCl Extended Release 420mg Capsule Extended Release,831359,SCD,5
