drug,strength,form,package_quantity,acquisition_cost,markup,pharmacy_fee,shipping_fee,final_price,brand_name,sku,retail_price_per_unit_UNRELIABLE,package_size_raw,volume_raw,package_quantity_status,product_slug,is_available,specialty_medication
Abacavir / Lamivudine,600mg-300mg,Tablet,30.0,,,,,38.22,Epzicom,12109902200340-Generic,36.54,30,,confirmed,abacavirlamivudine-600mg_300mg-tablet,False,False
Abacavir Sulfate,300mg,Tablet,60.0,,,,,15.52,Ziagen,12105005100320-Generic,11.27,60,,confirmed,abacavir-sulfate-300mg-tablet-ziagen,False,False
Abacavir Sulfate,20mg/mL,Bottle of Solution,240.0,,,,,81.04,Ziagen,12105005102020-240-Generic,157.0,240,240mL,confirmed,abacavir-sulfate-300mg-tablet-ziagen,False,False
Abiraterone Acetate,250mg,Tablet,120.0,,,,,19.25,Zytiga,21406010200320-Generic,36.44,120,,confirmed,abiraterone-acetate-250mg-tablet,False,False
Abiraterone Acetate,500mg,Tablet,60.0,,,,,48.12,Zytiga,21406010200330-Generic,204.73,60,,confirmed,abiraterone-acetate-250mg-tablet,False,False
Acamprosate Calcium,333mg,Tablet Delayed Release,180.0,,,,,22.08,Campral,62802010200620-Generic,1.77,180,,confirmed,acamprosate-calcium-333mg-tablet-delayed-release-campral,False,False
Acarbose,100mg,Tablet,100.0,,,,,13.04,Precose,27500010000340-Generic,1.44,100,,confirmed,acarbose-100mg-tablet,False,False
Acarbose,50mg,Tablet,100.0,,,,,8.0,Precose,27500010000320-Generic,1.57,100,,confirmed,acarbose-100mg-tablet,False,False
Acarbose,25mg,Tablet,100.0,,,,,7.35,Precose,27500010000310-Generic,1.52,100,,confirmed,acarbose-100mg-tablet,False,False
Accu-Chek Guide Me Meter for Diabetic Blood Glucose Testing,-,Kit,1.0,,,,,12.75,,97202010006410-1-Accu-Chek_Guide_Me_Meter_for_Diabetic_Blood_Glucose_Testing,29.99,1,1 Kit,confirmed,accu-chek-guide-me-care-kit,False,False
Accu-Chek Guide Test Strips for Diabetic Blood Glucose,-,Box of 50 Test Strips,50.0,,,,,18.79,,94100030006100-50-Accu-Chek_Guide_Test_Strips_for_Diabetic_Blood_Glucose,29.99,50,50 Test Strips,confirmed,accu-chek-guide-test-strips-50ct,False,False
Accu-Chek Softclix Lancets for Diabetic Blood Glucose Testing,-,Box of 100 Lancets,100.0,,,,,16.49,,97202025006300-100-Accu-Chek_Softclix_Lancets_for_Diabetic_Blood_Glucose_Testing,20.49,100,100 Lancets,confirmed,accu-chek-softclix-lancets-100ct,False,False
Acebutolol HCl,200mg,Capsule,100.0,,,,,21.56,Sectral,33200010100105-Generic,0.8,100,,confirmed,acebutolol-hcl-200mg-capsule-sectral,False,False
Acebutolol HCl,400mg,Capsule,100.0,,,,,27.32,Sectral,33200010100110-Generic,1.3,100,,confirmed,acebutolol-hcl-200mg-capsule-sectral,False,False
Acetazolamide,250mg,Tablet,100.0,,,,,11.21,Diamox,37100010000310-Generic,2.32,100,,confirmed,acetazolamide-250mg-tablet,False,False
Acetazolamide,125mg,Tablet,100.0,,,,,6.66,Diamox,37100010000305-Generic,2.23,100,,confirmed,acetazolamide-250mg-tablet,False,False
Acetazolamide ER,500mg,Extended Release Capsule,100.0,,,,,11.56,Diamox Sequels,37100010006920-Generic,4.55,100,,confirmed,acetazolamide-er-500mg-capsule,False,False
Acetic Acid,2%,Bottle of Solution,15.0,,,,,17.6,VoSol,87400010102010-15-Generic,40.0,15,15mL,confirmed,acetic-acid-2-bottle-of-solution-15-vosol,False,False
Acitretin,10mg,Capsule,30.0,,,,,51.13,Soriatane,90250510000110-Generic,27.77,30,,confirmed,acitretin-10mg-capsule-soriatane,False,False
Acitretin,17.5mg,Capsule,30.0,,,,,60.75,Soriatane,90250510000115-Generic,38.7,30,,confirmed,acitretin-10mg-capsule-soriatane,False,False
Acitretin,25mg,Capsule,30.0,,,,,44.19,Soriatane,90250510000125-Generic,31.83,30,,confirmed,acitretin-10mg-capsule-soriatane,False,False
Acyclovir,400mg,Tablet,500.0,,,,,6.69,Zovirax,12405010000320-Generic,0.86,500,,confirmed,Acyclovir-400mg-Tablet,False,False
