brand_name,generic_name,dosage,trumprx_price,list_price
Abrilada®,adalimumab-afzb,Prefilled Pen,207.6,519.0
Admelog®,insulin lispro,Vial,35.0,98.07
Aimovig®,erenumab-aooe,SureClick Autoinjector,299.0,783.02
Airsupra®,albuterol/budesonide,Inhaler,156.63,503.93
Alphagan® P,brimonidine tartrate ophthalmic solution,Solution,45.0,194.44
Amjevita®,adalimumab-atto,Autoinjector,299.0,1484.16
Anoro® Ellipta,umeclidinium/vilanterol,Ellipta Inhaler,247.94,489.09
Apidra®,insulin glulisine,Vial,35.0,85.19
Arnuity® Ellipta,fluticasone furoate,Ellipta Inhaler,102.98,208.49
Azulfidine®,sulfasalazine,Tablet,99.6,199.2
Azulfidine® EN-tabs,sulfasalazine,Tablet Delayed Release,130.8,261.6
Bevespi®,glycopyrrolate/formoterol,Inhaler,50.65,458.05
Cetrotide®,cetrorelix acetate,Prefilled Syringe + Vial,22.5,316.12
Colestid®,colestipol,Bottle Granules,67.2,135.6
Combigan®,brimonidine tartrate and timolol maleate ophthalmic solution,Solution,10.0,204.13
Duavee®,conjugated estrogens/bazedoxifene,Tablet,30.3,202.0
Emgality®,galcanezumab-gnlm,Prefilled Pen,299.0,741.69
Enbrel®,etanercept,SureClick Autoinjector,3353.93,9177.3
Eucrisa®,crisaborole,Tube,158.48,792.4
Farxiga®,dapagliflozin,Tablet,35.0,377.82
Fiasp®,insulin aspart,FlexTouch®,35.0,71.66
Foundayo™,orforglipron,Tablet,149.0,649.0
Genotropin®,somatropin,Prefilled Pen,89.67,224.14
Gonal-F®,follitropin alfa,Redi-ject® Pen,168.0,966.04
Humira® Pen,adalimumab,Pen,950.0,6922.62
Humira® Prefilled Syringe,adalimumab,Prefilled Syringe,950.0,6922.62
Incruse® Ellipta,umeclidinium,Ellipta Inhaler,159.2,354.1
Insulin Glargine (U-300),insulin glargine,SoloStar Pen,35.0,126.33
Insulin Lispro,insulin lispro,Vial,25.0,25.0
Invokamet®,canagliflozin/metformin HCl,Tablet,225.0,598.56
Invokamet® XR,canagliflozin/metformin HCl extended-release,Tablet Extended Release,225.0,598.56
Invokana®,canagliflozin,Tablet,225.0,598.56
Janumet®,,Tablet,84.57,330.0
Janumet® XR,,Tablet,84.57,330.0
Januvia®,,Tablet,84.57,330.0
Jentadueto®,linagliptin/metformin HCl,Tablet,55.0,525.08
Jentadueto® XR,linagliptin/metformin HCl extended-release,Tablet Extended Release,55.0,525.08
Lantus®,insulin glargine,SoloStar Pen,35.0,64.26
Lovenox®,enoxaparin sodium,Prefilled Syringe,13.07,74.42
Mayzent®,siponimod,Tablet,42.0,623.0
Merilog™,insulin aspart-szjj,Vial,35.0,69.57
Mounjaro®,tirzepatide,Single-dose Pen,499.0,1112.16
Ngenla®,somatrogon,Prefilled Pen,2217.0,4434.2
NovoLog®,insulin aspart,FlexPen®,35.0,72.34
NovoLog® Mix 70/30,insulin aspart protamine and insulin aspart,FlexPen®,35.0,72.34
Orencia® SC,abatacept,ClickJect Auto-Injector,3660.0,6070.59
Otezla®,apremilast,Tablet,3353.93,5589.89
Ovidrel®,choriogonadotropin alfa,Prefilled Syringe,84.0,251.84
Ozempic® Pen,semaglutide,Prefilled Pen,199.0,1027.51
Ozempic® Pill,semaglutide,Tablet,149.0,1027.51
Premarin®,conjugated estrogens,Tablet,99.0,217.86
Premarin® Vaginal Cream,conjugated estrogens,Tube,236.65,473.3
Prempro®,conjugated estrogens/medroxyprogesterone,Tablet,98.84,254.3
Priftin®,rifapentine,Tablet,93.3,121.55
Pristiq®,desvenlafaxine,Tablet Extended Release,200.1,435.0
Relenza®,zanamivir,Diskhaler,52.9,59.0
Repatha®,evolocumab,SureClick Autoinjector,239.0,625.89
Rydapt®,midostaurin,Capsule,2908.64,13411.0
Sotyktu®,deucravacitinib,Tablet,743.0,7135.55
Striverdi® Respimat®,olodaterol,Inhaler,35.0,276.0
Synthroid®,levothyroxine sodium tablets,Tablet,18.75,52.11
Tabrecta®,capmatinib,Tablet,2649.92,11666.0
Toujeo®,insulin glargine,SoloStar Pen,35.0,428.57
Toviaz®,fesoterodine,Tablet Extended Release,43.5,290.0
Tresiba®,insulin degludec,FlexTouch®,35.0,94.29
Trulicity®,dulaglutide,Single-dose Pen,389.0,987.19
Vfend®,voriconazole,Oral Suspension,306.98,613.96
Viracept®,nelfinavir,Tablet,607.2,1214.4
Wegovy® Pen,semaglutide,Prefilled Pen,199.0,1349.02
Wegovy® Pill,semaglutide,Tablet,149.0,1349.02
Xarelto®,rivaroxaban,Tablet,197.0,611.82
Xeljanz®,tofacitinib,Tablet,1518.0,2277.43
Xigduo® XR,dapagliflozin/metformin ER,Tablet,45.0,599.72
Xofluza®,baloxavir marboxil,Tablet,50.0,168.83
Zavzpret®,zavegepant,Nasal Spray,594.84,1189.65
Zepbound® KwikPen®,tirzepatide,Multi-dose KwikPen®,299.0,499.0
Zepbound® Vial,tirzepatide,Vial,299.0,1087.0
Zeposia®,ozanimod,Capsule,925.0,9060.76
Zyvox®,linezolid,Oral Suspension,122.74,245.48
